,Epsilon 0.05,Epsilon 0.10,Epsilon 0.20,Epsilon 0.30,Epsilon 0.40,Epsilon 0.50
334,11.3725,11.4775,10.595,9.4775,8.51,7.4225
335,11.4075,11.4175,10.56,9.4725,8.5475,7.5075
336,11.435,11.4825,10.545,9.5525,8.4225,7.4625
337,11.435,11.51,10.3825,9.37,8.445,7.49
338,11.3875,11.5675,10.3925,9.6075,8.49,7.61
339,11.4475,11.49,10.5325,9.6,8.5625,7.3325
340,11.4075,11.505,10.5975,9.36,8.54,7.495
341,11.445,11.5425,10.4975,9.6275,8.5025,7.55
342,11.4925,11.515,10.4675,9.44,8.46,7.6275
343,11.46,11.3825,10.5075,9.565,8.465,7.4825
344,11.47,11.4775,10.515,9.4975,8.43,7.5175
345,11.4575,11.4475,10.52,9.4825,8.57,7.4025
346,11.47,11.5125,10.4325,9.5,8.625,7.615
347,11.4525,11.4325,10.5775,9.5125,8.425,7.295
348,11.4675,11.4925,10.3925,9.4725,8.64,7.4275
349,11.505,11.4675,10.52,9.5475,8.4125,7.5375
350,11.4525,11.4875,10.4925,9.38,8.5175,7.48
351,11.49,11.5125,10.4,9.6,8.365,7.45
352,11.485,11.45,10.4675,9.5125,8.5775,7.3775
353,11.5075,11.455,10.5075,9.605,8.47,7.63
354,11.5225,11.5225,10.455,9.5625,8.5825,7.34
355,11.535,11.4225,10.475,9.4425,8.3525,7.5475
356,11.5125,11.525,10.465,9.5025,8.5625,7.395
357,11.5575,11.49,10.5325,9.49,8.5025,7.45
358,11.59,11.5525,10.43,9.5375,8.4225,7.3325
359,11.525,11.45,10.4825,9.245,8.35,7.505
360,11.5475,11.43,10.4925,9.555,8.4125,7.62
361,11.5625,11.4525,10.645,9.4325,8.4775,7.44
362,11.5675,11.4775,10.565,9.4925,8.775,7.4925
363,11.5675,11.41,10.4925,9.605,8.5825,7.575
364,11.5125,11.545,10.495,9.6875,8.4625,7.5375
365,11.5475,11.5525,10.6025,9.505,8.36,7.4325
366,11.57,11.49,10.42,9.4625,8.5675,7.515
367,11.52,11.5325,10.4925,9.3125,8.54,7.4475
368,11.56,11.425,10.525,9.57,8.5675,7.46
369,11.5825,11.5275,10.42,9.52,8.4875,7.5275
370,11.575,11.5225,10.565,9.39,8.4875,7.52
371,11.5425,11.4875,10.525,9.435,8.5375,7.5775
372,11.585,11.47,10.405,9.6875,8.5025,7.435
373,11.535,11.4875,10.5575,9.4125,8.5125,7.58
374,11.5975,11.4875,10.4675,9.525,8.5225,7.675
375,11.5775,11.425,10.57,9.3925,8.5225,7.485
376,11.57,11.5375,10.5,9.645,8.545,7.5325
377,11.595,11.5225,10.4675,9.6025,8.5575,7.4
378,11.57,11.495,10.5725,9.4925,8.3625,7.5625
379,11.6225,11.465,10.5325,9.49,8.6025,7.52
380,11.5625,11.415,10.585,9.3775,8.55,7.46
381,11.6575,11.4425,10.4125,9.445,8.5575,7.53
382,11.6375,11.4675,10.4375,9.475,8.49,7.725
383,11.5675,11.3975,10.44,9.4875,8.6575,7.4425
384,11.58,11.5175,10.54,9.415,8.7575,7.355
385,11.5275,11.5,10.5275,9.49,8.4525,7.5775
386,11.6775,11.56,10.4875,9.465,8.6275,7.6325
387,11.605,11.475,10.5075,9.505,8.5525,7.49
388,11.6475,11.49,10.4725,9.5775,8.3875,7.405
389,11.6275,11.5275,10.475,9.46,8.44,7.4675
390,11.6275,11.4175,10.5375,9.5825,8.4925,7.52
391,11.65,11.4725,10.5375,9.4975,8.4675,7.445
392,11.6775,11.57,10.5575,9.6275,8.61,7.55
393,11.65,11.55,10.3625,9.46,8.31,7.455
394,11.6525,11.51,10.5125,9.5425,8.6775,7.315
395,11.67,11.4675,10.565,9.4275,8.54,7.46
396,11.6575,11.4575,10.56,9.4975,8.3475,7.635
397,11.6625,11.4725,10.5,9.5925,8.44,7.4425
398,11.695,11.4675,10.59,9.5425,8.455,7.4075
399,11.7125,11.5025,10.57,9.4525,8.43,7.59
