,Epsilon 0.05,Epsilon 0.10,Epsilon 0.20,Epsilon 0.30,Epsilon 0.40,Epsilon 0.50
161,9.1825,10.995,10.5575,9.5175,8.3475,7.5125
162,9.1925,10.935,10.43,9.5125,8.5825,7.5
163,9.2275,11.0125,10.4925,9.495,8.595,7.4925
164,9.21,10.9975,10.5775,9.3825,8.6025,7.465
165,9.2675,10.9725,10.56,9.5425,8.67,7.45
166,9.29,10.99,10.41,9.5875,8.3875,7.4075
167,9.265,10.9075,10.405,9.6475,8.435,7.5775
168,9.345,11.065,10.455,9.4425,8.5075,7.4225
169,9.3675,11.1025,10.4475,9.5425,8.4175,7.5525
170,9.34,11.0425,10.4825,9.4825,8.53,7.5725
171,9.4775,11.0825,10.325,9.4025,8.58,7.5625
172,9.4,11.0475,10.42,9.52,8.59,7.4725
173,9.4775,11.0325,10.415,9.485,8.5625,7.435
174,9.3975,11.0925,10.5,9.4325,8.5625,7.5075
175,9.5125,10.995,10.445,9.47,8.48,7.4275
176,9.535,11.035,10.51,9.3975,8.5525,7.4575
177,9.535,11.1275,10.4975,9.485,8.66,7.5475
178,9.58,11.18,10.5025,9.4525,8.5,7.4625
179,9.5925,11.0675,10.4825,9.47,8.415,7.415
180,9.6375,11.0375,10.5925,9.5375,8.4075,7.58
181,9.6725,11.1175,10.57,9.5475,8.5725,7.425
182,9.64,11.2175,10.575,9.3525,8.5725,7.5825
183,9.6525,11.1375,10.5875,9.485,8.37,7.4825
184,9.6575,11.205,10.5275,9.585,8.5975,7.495
185,9.6475,11.1525,10.4725,9.57,8.505,7.445
186,9.745,11.155,10.545,9.48,8.485,7.48
187,9.7325,11.185,10.3525,9.53,8.33,7.39
188,9.735,11.2425,10.455,9.455,8.25,7.5225
189,9.77,11.17,10.5175,9.4775,8.4675,7.68
190,9.8,11.1675,10.4775,9.465,8.47,7.635
191,9.8025,11.14,10.4675,9.5575,8.505,7.66
192,9.78,11.145,10.5525,9.5075,8.59,7.5975
193,9.905,11.1475,10.4275,9.51,8.475,7.44
194,9.8575,11.155,10.4375,9.465,8.535,7.5025
195,9.845,11.135,10.5825,9.39,8.5275,7.57
196,9.8725,11.1825,10.53,9.605,8.5,7.4325
197,9.8875,11.19,10.4625,9.57,8.595,7.5075
198,9.8375,11.14,10.4225,9.4625,8.59,7.505
199,9.8625,11.24,10.54,9.4475,8.4025,7.2725
200,9.995,11.1925,10.4025,9.5,8.6025,7.6825
201,9.97,11.1975,10.4425,9.51,8.6175,7.46
202,9.985,11.1725,10.38,9.515,8.46,7.47
203,9.98,11.2125,10.4075,9.4425,8.4375,7.545
204,10.0575,11.1975,10.6,9.5025,8.4575,7.49
